source,target,word_count,sentiment
Mr. Bennet,Mrs. Bennet,13,0.0
Mr. Bennet,Kitty,13,0.0
Mr. Bennet,Jane,13,0.0
Elizabeth,Lydia,13,0.0
Elizabeth,Mrs. Bennet,13,0.0
Elizabeth,Kitty,13,0.0
Elizabeth,Jane,13,0.0
Elizabeth,Mr. Bennet,13,0.0
Mr. Bennet,Mary,37,-0.25
Mr. Bennet,Elizabeth,37,-0.25
Mr. Bennet,Lydia,37,-0.25
Mr. Bennet,Mrs. Bennet,37,-0.25
Mr. Bennet,Kitty,37,-0.25
Mrs. Bennet,Mary,48,0.8986
Mrs. Bennet,Elizabeth,48,0.8986
Mrs. Bennet,Lydia,48,0.8986
Mrs. Bennet,Kitty,48,0.8986
Mrs. Bennet,Mr. Bennet,48,0.8986
Mrs. Bennet,Mary,29,-0.5663
Mrs. Bennet,Elizabeth,29,-0.5663
Mrs. Bennet,Lydia,29,-0.5663
Mrs. Bennet,Kitty,29,-0.5663
Mrs. Bennet,Mr. Bennet,29,-0.5663
Elizabeth,Mary,12,0.4754
Elizabeth,Lydia,12,0.4754
Elizabeth,Mrs. Bennet,12,0.4754
Elizabeth,Kitty,12,0.4754
Elizabeth,Mr. Bennet,12,0.4754
Mr. Bennet,Mary,12,0.0
Mr. Bennet,Elizabeth,12,0.0
Mr. Bennet,Lydia,12,0.0
Mr. Bennet,Mrs. Bennet,12,0.0
Mr. Bennet,Kitty,12,0.0
Elizabeth,Mary,28,-0.3757
Elizabeth,Lydia,28,-0.3757
Elizabeth,Mrs. Bennet,28,-0.3757
Elizabeth,Kitty,28,-0.3757
Elizabeth,Mr. Bennet,28,-0.3757
Mary,Elizabeth,31,0.5647
Mary,Lydia,31,0.5647
Mary,Mrs. Bennet,31,0.5647
Mary,Kitty,31,0.5647
Mary,Mr. Bennet,31,0.5647
Lydia,Elizabeth,15,0.0
Lydia,Kitty,15,0.0
Mrs. Hurst,Mr. Darcy,26,0.8316
Mrs. Hurst,Mr. Bingley,26,0.8316
Mrs. Hurst,Mr. Hurst,26,0.8316
Mrs. Hurst,Miss Bingley,26,0.8316
Miss Bingley,Mr. Darcy,36,0.0
Miss Bingley,Mrs. Hurst,36,0.0
Miss Bingley,Mr. Bingley,36,0.0
Miss Bingley,Mr. Hurst,36,0.0
Mrs. Hurst,Mr. Darcy,34,0.7425
Mrs. Hurst,Mr. Bingley,34,0.7425
Mrs. Hurst,Mr. Hurst,34,0.7425
Mrs. Hurst,Miss Bingley,34,0.7425
Mr. Bingley,Mr. Darcy,37,-0.6819
Mr. Bingley,Mrs. Hurst,37,-0.6819
Mr. Bingley,Mr. Hurst,37,-0.6819
Mr. Bingley,Miss Bingley,37,-0.6819
Miss Bingley,Mr. Darcy,27,0.0108
Miss Bingley,Mrs. Hurst,27,0.0108
Miss Bingley,Mr. Bingley,27,0.0108
Miss Bingley,Mr. Hurst,27,0.0108
Mr. Darcy,Mrs. Hurst,2,0.34
Mr. Darcy,Mr. Bingley,2,0.34
Mr. Darcy,Mr. Hurst,2,0.34
Mr. Darcy,Miss Bingley,2,0.34
Miss Bingley,Mr. Darcy,48,-0.7316
Miss Bingley,Mrs. Hurst,48,-0.7316
Miss Bingley,Mr. Bingley,48,-0.7316
Miss Bingley,Mr. Hurst,48,-0.7316
Mr. Bingley,Mr. Darcy,11,0.796
Mr. Bingley,Mrs. Hurst,11,0.796
Mr. Bingley,Mr. Hurst,11,0.796
Mr. Bingley,Miss Bingley,11,0.796
